time, Quad.Roll, Quad.Est.Roll, Quad.Pitch, Quad.Est.Pitch, Quad.Yaw, Quad.Est.Yaw
1.049993,-0.784020,-0.782087,0.259978,0.259783,-0.055509,-0.059040
1.054993,-0.795172,-0.795492,0.258446,0.257957,-0.053881,-0.057087
1.059994,-0.801709,-0.800784,0.256139,0.256119,-0.051364,-0.055075
1.064994,-0.801973,-0.801139,0.253010,0.252375,-0.047888,-0.050908
1.069994,-0.794621,-0.795312,0.249035,0.249201,-0.043468,-0.047373
1.074994,-0.778736,-0.776304,0.244203,0.243412,-0.038185,-0.041038
1.079994,-0.753690,-0.756315,0.238452,0.238818,-0.032116,-0.036183
1.084995,-0.719108,-0.714879,0.231694,0.230715,-0.025369,-0.028092
1.089995,-0.674776,-0.679458,0.223767,0.224383,-0.018031,-0.022223
1.094995,-0.620685,-0.614617,0.214468,0.213230,-0.010221,-0.012857
1.099995,-0.557116,-0.563787,0.203620,0.204560,-0.002141,-0.006392
1.104996,-0.485034,-0.477375,0.191043,0.189473,0.005939,0.003297
1.109996,-0.406369,-0.414435,0.176587,0.177913,0.013703,0.009513
1.114996,-0.323705,-0.315321,0.160372,0.158471,0.020737,0.017945
1.119996,-0.239643,-0.248062,0.142745,0.144369,0.026651,0.022680
1.124997,-0.156257,-0.148047,0.124099,0.122009,0.031190,0.028126
1.129997,-0.074958,-0.083003,0.104851,0.106610,0.034226,0.030556
1.134997,0.003314,0.010908,0.085369,0.083241,0.035739,0.032375
1.139997,0.077964,0.070635,0.065926,0.067687,0.035793,0.032418
1.144997,0.148691,0.155515,0.046787,0.044727,0.034499,0.030869
1.149998,0.215514,0.208978,0.028164,0.029828,0.032000,0.028869
1.154998,0.278662,0.284776,0.010270,0.008360,0.028459,0.024625
1.159998,0.338451,0.332615,-0.006696,-0.005215,0.024059,0.021103
1.164998,0.395151,0.400677,-0.022573,-0.024265,0.018995,0.015030
1.169999,0.449090,0.443837,-0.037264,-0.036018,0.013453,0.010594
1.174999,0.500526,0.505583,-0.050757,-0.052213,0.007589,0.003561
1.179999,0.549671,0.544911,-0.063051,-0.062048,0.001550,-0.001272
1.184999,0.596551,0.601187,-0.074215,-0.075449,-0.004563,-0.008607
1.190000,0.641120,0.636859,-0.084278,-0.083500,-0.010633,-0.013465
1.195000,0.683258,0.687445,-0.093304,-0.094339,-0.016577,-0.020597
1.200000,0.722813,0.719109,-0.101421,-0.100835,-0.022361,-0.025226
1.205000,0.759620,0.763301,-0.108723,-0.109602,-0.027946,-0.031927
1.210001,0.793423,0.790366,-0.115248,-0.114824,-0.033248,-0.036170
1.215001,0.823950,0.827024,-0.121078,-0.121827,-0.038241,-0.042163
1.220001,0.850959,0.848655,-0.126295,-0.126005,-0.042903,-0.045895
1.225001,0.874361,0.876774,-0.130917,-0.131557,-0.047148,-0.050986
1.230001,0.894217,0.892682,-0.134959,-0.134795,-0.050894,-0.053986
1.235002,0.910674,0.912472,-0.138414,-0.138949,-0.054068,-0.057795
