time, Quad1.PosFollowErr, Quad2.PosFollowErr, Quad3.PosFollowErr
1.885032,0.040662,0.018943,0.059382
1.890032,0.040598,0.018616,0.059120
1.895033,0.040534,0.018113,0.058719
1.900033,0.040512,0.017769,0.058449
1.905033,0.040509,0.017242,0.058038
1.910033,0.040527,0.016884,0.057762
1.915033,0.040583,0.016338,0.057344
1.920034,0.040640,0.015968,0.057065
1.925034,0.040752,0.015406,0.056644
1.930034,0.040842,0.015027,0.056364
1.935034,0.041001,0.014454,0.055945
1.940035,0.041120,0.014069,0.055666
1.945035,0.041318,0.013488,0.055252
1.950035,0.041461,0.013099,0.054978
1.955035,0.041691,0.012515,0.054571
1.960036,0.041855,0.012126,0.054304
1.965036,0.042114,0.011542,0.053909
1.970036,0.042294,0.011155,0.053651
1.975036,0.042572,0.010575,0.053271
1.980036,0.042761,0.010192,0.053023
1.985037,0.043046,0.009620,0.052662
1.990037,0.043236,0.009243,0.052427
1.995037,0.043520,0.008682,0.052086
2.000037,0.043708,0.008314,0.051866
2.005037,0.043987,0.007768,0.051547
2.010037,0.044168,0.007410,0.051343
2.015036,0.044432,0.006882,0.051049
2.020036,0.044602,0.006536,0.050861
2.025036,0.044849,0.006029,0.050593
2.030035,0.045007,0.005699,0.050423
2.035035,0.045232,0.005214,0.050181
2.040035,0.045374,0.004900,0.050030
2.045034,0.045572,0.004441,0.049816
2.050034,0.045694,0.004145,0.049683
2.055033,0.045861,0.003714,0.049497
2.060033,0.045960,0.003437,0.049383
2.065033,0.046092,0.003037,0.049226
2.070032,0.046168,0.002780,0.049130
2.075032,0.046264,0.002411,0.049000
2.080032,0.046317,0.002176,0.048922
2.085031,0.046378,0.001841,0.048818
2.090031,0.046406,0.001629,0.048756
2.095031,0.046428,0.001329,0.048677
2.100030,0.046429,0.001142,0.048631
2.105030,0.046410,0.000884,0.048574
2.110029,0.046384,0.000731,0.048542
2.115029,0.046322,0.000538,0.048507
2.120029,0.046265,0.000445,0.048490
2.125028,0.046158,0.000383,0.048475
2.130028,0.046072,0.000398,0.048471
2.135028,0.045919,0.000476,0.048475
2.140027,0.045803,0.000545,0.048485
2.145027,0.045607,0.000652,0.048508
2.150027,0.045463,0.000720,0.048529
2.155026,0.045226,0.000812,0.048569
2.160026,0.045055,0.000865,0.048601
2.165025,0.044778,0.000931,0.048656
2.170025,0.044580,0.000965,0.048698
2.175025,0.044266,0.001002,0.048767
2.180024,0.044046,0.001019,0.048817
2.185024,0.043696,0.001033,0.048897
2.190024,0.043451,0.001035,0.048954
2.195023,0.043066,0.001028,0.049045
2.200023,0.042797,0.001017,0.049108
2.205023,0.042379,0.000991,0.049207
2.210022,0.042089,0.000970,0.049275
2.215022,0.041643,0.000932,0.049381
2.220021,0.041339,0.000903,0.049454
2.225021,0.040873,0.000859,0.049565
2.230021,0.040557,0.000831,0.049642
2.235020,0.040078,0.000794,0.049758
2.240020,0.039755,0.000774,0.049837
2.245020,0.039264,0.000759,0.049957
2.250019,0.038934,0.000761,0.050039
